_id,Timestamp,DATE,TIME,LINE_IL1,LINE_IL1-Ang,LINE_IL2,LINE_IL2-Ang,LINE_IL3,LINE_IL3-Ang,LINE_UL1,LINE_UL1-Ang,LINE_UL2,LINE_UL2-Ang,LINE_UL3,LINE_UL3-Ang,LINE1_z0z1_mag,LINE1_z0z1_ang,LINE1_IL1_Real,LINE1_IL2_Real,LINE1_IL3_Real,LINE1_IL1_Imag,LINE1_IL2_Imag,LINE1_IL3_Imag,LINE1_V1_Real,LINE1_V2_Real,LINE1_V3_Real,LINE1_V1_Imag,LINE1_V2_Imag,LINE1_V3_Imag,LINE1_IL1_Complex,LINE1_IL2_Complex,LINE1_IL3_Complex,LINE1_V1_Complex,LINE1_V2_Complex,LINE1_V3_Complex,LINE1_IN_Imag,LINE1_IN_Real,LINE1_IN_Mag,LINE1_IN_Ang
65ecb18e3ebff5017da8333f,2024-03-10_01:59:26,2024-03-10,01:59:26,78.86149597167969,31.5,84.00122833251953,271.3,84.29155731201172,147.9,87294.546875,0,88131.8203125,239.8,87336.3984375,119.5,6.181,-2.55,67.24047888650256,1.905763887703258,-71.4052259864439,41.205018456555216,-83.97960719946485,44.79241382097009,87294.546875,-44332.06355001924,-43006.50024520862,0.0,-76170.11154640542,-76170.11154640542,(67.24047888650256+41.205018456555216j),(1.905763887703258-83.97960719946485j),(-71.4052259864439+44.79241382097009j),(87294.546875+0j),(-44332.06355001924-76170.11154640542j),(-43006.50024520862+76013.73184295469j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65ecb1993ebff5017da83340,2024-03-10_01:59:37,2024-03-10,01:59:37,78.78558349609375,31.4,84.41944122314453,271.4,85.41887664794922,147.9,87292.4453125,0,88132.9140625,239.8,87331.546875,119.5,6.181,-2.55,67.24749760689271,2.06255082751123,-72.3602029083145,41.048047851644796,-84.39424115727262,45.39146971475055,87292.4453125,-44332.61372808587,-43004.11122153031,0.0,-76171.05684697005,-76171.05684697005,(67.24749760689271+41.048047851644796j),(2.06255082751123-84.39424115727262j),(-72.3602029083145+45.39146971475055j),(87292.4453125+0j),(-44332.61372808587-76171.05684697005j),(-43004.11122153031+76009.5092578986j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65ecb1a43ebff5017da83341,2024-03-10_01:59:48,2024-03-10,01:59:48,78.6317138671875,31.4,83.41243743896484,271.4,84.08968353271484,147.9,87320.75,0,88153.109375,239.8,87354.6796875,119.5,6.181,-2.55,67.11616206246332,2.0379475316557567,-71.23421428264926,40.967880292936904,-83.38753797401289,44.685138381409786,87320.75,-44342.7723731018,-43015.50236341677,0.0,-76188.51114668138,-76188.51114668138,(67.11616206246332+40.967880292936904j),(2.0379475316557567-83.38753797401289j),(-71.23421428264926+44.685138381409786j),(87320.75+0j),(-44342.7723731018-76188.51114668138j),(-43015.50236341677+76029.64303302109j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65ecb1ae3ebff5017da83342,2024-03-10_01:59:58,2024-03-10,01:59:58,78.97627258300781,31.0,85.49501037597656,271.8,86.64740753173828,148.2,87301.25,0,88132.65625,239.8,87340.8046875,119.5,6.181,-2.55,67.69587838949104,2.6854631733019234,-73.64099852747931,40.67578739472403,-85.45282374932486,45.65935356361197,87301.25,-44332.48404325587,-43008.669986520326,0.0,-76170.83402612267,-76170.83402612267,(67.69587838949104+40.67578739472403j),(2.6854631733019234-85.45282374932486j),(-73.64099852747931+45.65935356361197j),(87301.25+0j),(-44332.48404325587-76170.83402612267j),(-43008.669986520326+76017.56684773992j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65ecb1b93ebff5017da83343,2024-03-10_02:00:09,2024-03-10,02:00:09,79.07782745361328,31.5,85.33821105957031,271.5,86.04708862304688,147.8,87287.5859375,0,88118.4140625,239.8,87328.03125,119.5,6.181,-2.55,67.42493179681338,2.233893939592738,-72.81245835799514,41.31805134536839,-85.30896778600957,45.852452152177285,87287.5859375,-44325.31993885973,-43002.38004495182,0.0,-76158.52486234171,-76158.52486234171,(67.42493179681338+41.31805134536839j),(2.233893939592738-85.30896778600957j),(-72.81245835799514+45.852452152177285j),(87287.5859375+0j),(-44325.31993885973-76158.52486234171j),(-43002.38004495182+76006.44941365506j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65ecb1c43ebff5017da83344,2024-03-10_02:00:20,2024-03-10,02:00:20,78.51264190673828,31.2,84.53082275390625,271.1,85.13938903808594,147.6,87293.078125,0,88118.09375,239.8,87334.296875,119.5,6.181,-2.55,67.15690785780399,1.6227756008165255,-71.8855637250361,40.671669084931125,-84.51524474792527,45.61996595474751,87293.078125,-44325.15881528307,-43005.46538632059,0.0,-76158.24802431923,-76158.24802431923,(67.15690785780399+40.671669084931125j),(1.6227756008165255-84.51524474792527j),(-71.8855637250361+45.61996595474751j),(87293.078125+0j),(-44325.15881528307-76158.24802431923j),(-43005.46538632059+76011.90273606243j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65ecb1cf3ebff5017da83345,2024-03-10_02:00:31,2024-03-10,02:00:31,77.41436004638672,30.9,83.83595275878906,270.8,85.40746307373047,147.2,87279.0234375,0,88103.203125,239.8,87305.28125,119.5,6.181,-2.55,66.4265455548591,1.1705326913222627,-71.7906611490687,39.75546738550341,-83.82778076623798,46.265923966459724,87279.0234375,-44317.66853389028,-42991.17740895946,0.0,-76145.37843234638,-76145.37843234638,(66.4265455548591+39.75546738550341j),(1.1705326913222627-83.82778076623798j),(-71.7906611490687+46.265923966459724j),(87279.0234375+0j),(-44317.66853389028-76145.37843234638j),(-42991.17740895946+75986.64882157242j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65ecb1d93ebff5017da83346,2024-03-10_02:00:41,2024-03-10,02:00:41,78.61307525634766,31.5,84.51455688476562,271.5,85.43570709228516,148.2,87282.2734375,0,88111.1953125,239.8,87320.4296875,119.5,6.181,-2.55,67.0286654069529,2.2123331868353118,-72.61118317789912,41.07521898934852,-84.48559585691937,45.02084099463627,87282.2734375,-44321.68876361999,-42998.63685648322,0.0,-76152.28587861512,-76152.28587861512,(67.0286654069529+41.07521898934852j),(2.2123331868353118-84.48559585691937j),(-72.61118317789912+45.02084099463627j),(87282.2734375+0j),(-44321.68876361999-76152.28587861512j),(-42998.63685648322+75999.83335043515j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65ecb1e43ebff5017da83347,2024-03-10_02:00:52,2024-03-10,02:00:52,78.5744400024414,30.7,84.23394775390625,271.1,85.05873107910156,147.7,87296.53125,0,88139.3671875,239.8,87336.9140625,119.5,6.181,-2.55,67.56241072555149,1.6170763601041176,-71.89689896344625,40.11562387211683,-84.21842445838915,45.45133278823537,87296.53125,-44335.85977867896,-43006.7541511068,0.0,-76176.6341203014,-76176.6341203014,(67.56241072555149+40.11562387211683j),(1.6170763601041176-84.21842445838915j),(-71.89689896344625+45.45133278823537j),(87296.53125+0j),(-44335.85977867896-76176.6341203014j),(-43006.7541511068+76014.1806201104j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65ecb21f418559648f792f0f,2024-03-10_02:01:51,2024-03-10,02:01:51,76.936279296875,0.0,82.9910659790039,0.0,85.0652847290039,0.0,87288.21875,0,88135.34375,0.0,87321.5078125,0.0,6.181,-2.55,76.936279296875,82.9910659790039,85.0652847290039,0.0,0.0,0.0,87288.21875,88135.34375,87321.5078125,0.0,0.0,0.0,(76.936279296875+0j),(82.9910659790039+0j),(85.0652847290039+0j),(87288.21875+0j),(88135.34375+0j),(87321.5078125+0j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
