Timestamp,DATE,TIME,LINE_IL1,LINE_IL1-Ang,LINE_IL2,LINE_IL2-Ang,LINE_IL3,LINE_IL3-Ang,LINE_UL1,LINE_UL1-Ang,LINE_UL2,LINE_UL2-Ang,LINE_UL3,LINE_UL3-Ang,LINE1_z0z1_mag,LINE1_z0z1_ang,LINE1_IL1_Real,LINE1_IL2_Real,LINE1_IL3_Real,LINE1_IL1_Imag,LINE1_IL2_Imag,LINE1_IL3_Imag,LINE1_V1_Real,LINE1_V2_Real,LINE1_V3_Real,LINE1_V1_Imag,LINE1_V2_Imag,LINE1_V3_Imag,LINE1_IL1_Complex,LINE1_IL2_Complex,LINE1_IL3_Complex,LINE1_V1_Complex,LINE1_V2_Complex,LINE1_V3_Complex,LINE1_IN_Imag,LINE1_IN_Real,LINE1_IN_Mag,LINE1_IN_Ang,_id
2024-03-10_23:52:34,2024-03-10,23:52:34,110.28982543945312,0,115.76756286621094,0,118.90966796875,0,87192.2421875,0,87787.796875,0,86861.9453125,0,6.181,-2.55,110.28982543945312,115.76756286621094,118.90966796875,0.0,0.0,0.0,87192.2421875,87787.796875,86861.9453125,0.0,0.0,0.0,(110.28982543945312+0j),(115.76756286621094+0j),(118.90966796875+0j),(87192.2421875+0j),(87787.796875+0j),(86861.9453125+0j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede55221616d9330478f1b
2024-03-10_23:52:45,2024-03-10,23:52:45,109.4252700805664,19.8,114.80326843261719,260.4,116.97904205322266,137.1,87208.6640625,0,87800.3828125,239.6,86882.515625,119.6,6.181,-2.55,102.95613225642713,-19.14559719541988,-85.6921665630384,37.06648840937038,-113.19556771730194,79.63007515645153,87208.6640625,-44429.95820588851,-42914.911941346094,0.0,-75729.0303374112,-75729.0303374112,(102.95613225642713+37.06648840937038j),(-19.14559719541988-113.19556771730194j),(-85.6921665630384+79.63007515645153j),(87208.6640625+0j),(-44429.95820588851-75729.0303374112j),(-42914.911941346094+75543.90679859548j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede55d21616d9330478f1c
2024-03-10_23:52:55,2024-03-10,23:52:55,107.68646240234375,20.0,113.45452880859375,260.7,115.82528686523438,137.1,87183.5546875,0,87801.6640625,239.6,86864.8828125,119.6,6.181,-2.55,101.1921740780216,-18.3346853769501,-84.84699139313848,36.830939305083845,-111.96325030700154,78.84468992231828,87183.5546875,-44430.6065616488,-42906.20235702672,0.0,-75730.13543304987,-75730.13543304987,(101.1921740780216+36.830939305083845j),(-18.3346853769501-111.96325030700154j),(-84.84699139313848+78.84468992231828j),(87183.5546875+0j),(-44430.6065616488-75730.13543304987j),(-42906.20235702672+75528.5751575338j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede56721616d9330478f1d
2024-03-10_23:53:06,2024-03-10,23:53:06,109.46356964111328,19.5,115.47870635986328,260.4,118.2554702758789,137.1,87211.4140625,0,87798.65625,239.6,86887.828125,119.6,6.181,-2.55,103.18490250677154,-19.258239132031235,-86.62720499335703,36.53969038241718,-113.8615468368537,80.49896648534178,87211.4140625,-44429.08450696765,-42917.536007512324,0.0,-75727.54115365421,-75727.54115365421,(103.18490250677154+36.53969038241718j),(-19.258239132031235-113.8615468368537j),(-86.62720499335703+80.49896648534178j),(87211.4140625+0j),(-44429.08450696765-75727.54115365421j),(-42917.536007512324+75548.52599040847j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede57221616d9330478f1e
2024-03-10_23:53:17,2024-03-10,23:53:17,108.52864837646484,20.2,114.55777740478516,260.8,116.92130279541016,137.5,87180.8046875,0,87761.2734375,239.6,86845.84375,119.6,6.181,-2.55,101.85337927083746,-18.31563351081389,-86.20342674137011,37.47474682413855,-113.08413652242234,78.99088723024464,87180.8046875,-44410.167541644834,-42896.79816695745,0.0,-75695.29796687955,-75695.29796687955,(101.85337927083746+37.47474682413855j),(-18.31563351081389-113.08413652242234j),(-86.20342674137011+78.99088723024464j),(87180.8046875+0j),(-44410.167541644834-75695.29796687955j),(-42896.79816695745+75512.02078922752j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede57d21616d9330478f1f
2024-03-10_23:53:28,2024-03-10,23:53:28,109.59744262695312,19.8,115.31207275390625,260.6,118.06681060791016,137.7,87225.7265625,0,87807.09375,239.6,86889.6171875,119.6,6.181,-2.55,103.11812609426427,-18.83345524060766,-87.32588441056069,37.12480977965675,-113.76368087620142,79.46044096931202,87225.7265625,-44433.35416685242,-42918.41970038301,0.0,-75734.81861273815,-75734.81861273815,(103.11812609426427+37.12480977965675j),(-18.83345524060766-113.76368087620142j),(-87.32588441056069+79.46044096931202j),(87225.7265625+0j),(-44433.35416685242-75734.81861273815j),(-42918.41970038301+75550.08157118078j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede58821616d9330478f20
2024-03-10_23:53:38,2024-03-10,23:53:38,107.96210479736328,19.6,112.96299743652344,260.1,115.77975463867188,137.2,87172.046875,0,87750.09375,239.6,86822.9609375,119.5,6.181,-2.55,101.70650544295924,-19.421626514126732,-84.95106368320896,36.21605752781705,-111.28090228511705,78.66554749877761,87172.046875,-44404.51024229752,-42753.671523567995,0.0,-75685.65533359333,-75685.65533359333,(101.70650544295924+36.21605752781705j),(-19.421626514126732-111.28090228511705j),(-84.95106368320896+78.66554749877761j),(87172.046875+0j),(-44404.51024229752-75685.65533359333j),(-42753.671523567995+75566.85859032054j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede59221616d9330478f21
2024-03-10_23:53:49,2024-03-10,23:53:49,109.11212921142578,19.5,114.53948211669922,260.4,117.04026794433594,137.0,87189.4296875,0,87783.2578125,239.6,86852.8671875,119.6,6.181,-2.55,102.85362017610083,-19.101605882113383,-85.59783319958963,36.422377156375425,-112.93547545517339,79.82127079931252,87189.4296875,-44421.29237767794,-42900.26733678604,0.0,-75714.25979082602,-75714.25979082602,(102.85362017610083+36.422377156375425j),(-19.101605882113383-112.93547545517339j),(-85.59783319958963+79.82127079931252j),(87189.4296875+0j),(-44421.29237767794-75714.25979082602j),(-42900.26733678604+75518.12763252147j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede59d21616d9330478f22
2024-03-10_23:54:00,2024-03-10,23:54:00,110.06558227539062,19.7,115.32122039794922,260.6,117.19514465332031,136.9,87202.8515625,0,87780.0625,239.6,86862.203125,119.6,6.181,-2.55,103.6235037098662,-18.83494928837322,-85.57147362896676,37.1025859006098,-113.7727056871585,80.0763687443413,87202.8515625,-44419.67544166602,-42904.8787471811,0.0,-75711.5037901174,-75711.5037901174,(103.6235037098662+37.1025859006098j),(-18.83494928837322-113.7727056871585j),(-85.57147362896676+80.0763687443413j),(87202.8515625+0j),(-44419.67544166602-75711.5037901174j),(-42904.8787471811+75526.24518283989j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede5a821616d9330478f23
2024-03-10_23:54:10,2024-03-10,23:54:10,112.25367736816406,18.3,116.70441436767578,259.4,118.32290649414062,136.3,87212.8828125,0,87802.6171875,239.6,86873.4453125,119.6,6.181,-2.55,106.57650125232934,-21.467934645400526,-85.5435740037936,35.246807848202536,-114.71289428378564,81.7472149242935,87212.8828125,-44431.08887508022,-42910.43173425934,0.0,-75730.95751639083,-75730.95751639083,(106.57650125232934+35.246807848202536j),(-21.467934645400526-114.71289428378564j),(-85.5435740037936+81.7472149242935j),(87212.8828125+0j),(-44431.08887508022-75730.95751639083j),(-42910.43173425934+75536.0202078677j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede5b221616d9330478f24
2024-03-10_23:54:21,2024-03-10,23:54:21,113.1826171875,19.7,118.68135833740234,260.5,120.75648498535156,137.1,87193.140625,0,87790.5390625,239.6,86863.9921875,119.6,6.181,-2.55,106.55810026676795,-19.58807405388139,-88.459305558544,38.153323589821085,-117.0537148990606,82.20145939165305,87193.140625,-44424.97693602295,-42905.76244005179,0.0,-75720.53996847993,-75720.53996847993,(106.55810026676795+38.153323589821085j),(-19.58807405388139-117.0537148990606j),(-88.459305558544+82.20145939165305j),(87193.140625+0j),(-44424.97693602295-75720.53996847993j),(-42905.76244005179+75527.80076361222j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede5bd21616d9330478f25
